UPS,_chr,"[[ -3.10862447e-15   2.00000000e+00   1.00000000e+00  -1.41666667e+00
    3.46875000e+00]]"
,,
WHR,_clr,[[-2.2421875   0.28275862 -4.58730159 -1.         -8.93333333]]
,,
WHR,_chr,[[ 1.          3.60377358  9.69230769 -0.19847328  2.        ]]
,,
BBBY,_clr,[[  0.12264151  -2.25        -1.         -12.4         -4.78125   ]]
,,
BBBY,_chr,[[-0.08533917  2.20512821  1.         -6.5         4.73529412]]
,,
MDT,_clr,[[ -2.234375     0.13057325  -1.          -5.         -25.        ]]
,,
MDT,_chr,"[[  2.16666667e+00   3.66373598e-15   1.00000000e+00   4.78260870e+00
   -1.31372549e+00]]"
,,
F,_clr,[[  0.19020716  -5.          -2.25263158 -25.          -1.        ]]
,,
F,_chr,"[[  1.00000000e+00   3.46153846e+00  -5.32907052e-15   2.00000000e+00
   -1.42857143e+00]]"
,,
DFS,_clr,"[[ -2.25187970e+00   1.66533454e-15  -1.00000000e+00  -4.96875000e+00
    1.17821782e+00]]"
,,
DFS,_chr,"[[  4.77395901e-15   4.84848485e+00   1.00000000e+00   2.20394737e+00
   -1.31147541e+00]]"
,,
JEC,_clr,[[ -1.          -4.625        0.17137097  -2.25454545 -10.8       ]]
,,
JEC,_chr,[[-0.1622807   2.25073746  1.          4.65306122 -3.13636364]]
,,
ILMN,_clr,[[ -0.43263288  38.          -6.41176471 -22.          -2.52727273]]
,,
ILMN,_chr,[[ -0.29447853   3.84805654  47.           1.32432432  10.15384615]]
,,
V,_clr,"[[ -2.39748954e+00   1.22124533e-15  -1.00000000e+00  -1.35000000e+01
    1.35616438e+00]]"
,,
V,_chr,"[[ -2.33146835e-15   2.20224719e+00   1.00000000e+00   5.23333333e+00
   -1.19047619e+00]]"
,,
FMC,_clr,"[[ -1.00000000e+00  -2.31948882e+00  -4.90566038e+00   1.21126761e+00
    1.11022302e-15]]"
,,
FMC,_chr,[[-0.16255144  3.47058824  1.          2.          7.63636364]]
,,
AVY,_clr,[[ 0.08851224 -2.43157895 -8.875      -1.          3.        ]]
,,
AVY,_chr,[[ -0.18533605   2.           1.          11.14285714   3.46938776]]
,,
TSCO,_clr,[[-1.         -6.53846154  0.13793103 -2.39385475  7.16666667]]
,,
TSCO,_chr,[[ -0.09589041   2.39285714   9.14285714   1.         -14.        ]]
,,
ALL,_clr,"[[ -1.00000000e+00  -1.20000000e+01  -5.99520433e-15  -2.27329193e+00
    1.26315789e+00]]"
,,
ALL,_chr,[[ 1.         -0.0754386   2.18324607  4.92857143 -7.        ]]
,,
ALK,_clr,[[ -4.9673913    0.21867882  -2.27959698  -1.         -23.        ]]
,,
ALK,_chr,[[-0.19648094  3.27411168  1.          2.          5.75      ]]
,,
LMT,_clr,"[[  6.88338275e-15  -1.00000000e+00  -2.18000000e+00  -5.18181818e+00
    1.09523810e+00]]"
,,
LMT,_chr,"[[  1.00000000e+00   3.17391304e+00   2.00000000e+00   7.32747196e-15
   -1.03030303e+00]]"
,,
MMM,_clr,"[[ -2.19708029e+00   2.22044605e-15  -1.00000000e+00   1.10144928e+00
   -4.81818182e+00]]"
,,
MMM,_chr,"[[  3.88578059e-15   1.00000000e+00   2.17419355e+00   5.14285714e+00
   -1.16129032e+00]]"
,,
SO,_clr,"[[ -1.22124533e-15  -1.00000000e+00  -2.00000000e+00  -3.26923077e+00
    1.00000000e+00]]"
,,
SO,_chr,"[[  1.00000000e+00  -4.77395901e-15   2.00000000e+00  -1.05882353e+00
    3.07142857e+00]]"
,,
JNPR,_clr,[[-1.33190272 -7.57894737  0.1768559  -3.38554217  4.06666667]]
,,
JNPR,_chr,[[ -0.34140436   4.97619048   2.26086957   1.          10.21428571]]
,,
MMC,_clr,"[[ -3.51351351e+00  -2.44249065e-15  -1.00000000e+00  -2.00000000e+00
    1.10909091e+00]]"
,,
MMC,_chr,"[[  4.55191440e-15   1.00000000e+00   2.00000000e+00   3.42500000e+00
   -1.12727273e+00]]"
,,
WEC,_clr,"[[ -1.00000000e+00   5.99520433e-15  -2.00000000e+00  -3.31250000e+00
    1.18518519e+00]]"
,,
WEC,_chr,"[[  1.00000000e+00  -2.22044605e-15   2.00000000e+00  -1.04347826e+00
    3.16279070e+00]]"
,,
ADBE,_clr,[[-1.          0.11821705 -2.51864407 -9.83333333  5.1       ]]
,,
ADBE,_chr,[[-0.18432203  2.          1.          9.33333333  3.38181818]]
,,
IBM,_clr,"[[ -1.00000000e+00  -5.30434783e+00  -7.54951657e-15   1.21052632e+00
   -2.14864865e+00]]"
,,
IBM,_chr,[[ 1.         -0.06081081  2.         -3.0952381   3.38297872]]
,,
FIS,_clr,"[[ -1.00000000e+00  -6.99440506e-15  -8.54545455e+00  -2.33333333e+00
    1.37288136e+00]]"
,,
FIS,_chr,"[[ -4.21884749e-15   1.00000000e+00   2.18385650e+00   5.38461538e+00
   -1.44827586e+00]]"
,,
BAX,_clr,[[ -2.22727273   0.08688525 -46.          -1.          -4.81818182]]
,,
BAX,_chr,[[  1.           3.49090909 -44.          -0.09491525   2.        ]]
,,
CAT,_clr,"[[ -4.81481481e+00  -1.00000000e+00   1.38202247e+00  -2.26643599e+00
    3.10862447e-15]]"
,,
CAT,_chr,[[-1.41666667  2.24710425  0.          1.          4.68333333]]
,,
CAH,_clr,"[[  8.32667268e-15  -1.00000000e+00  -5.13043478e+00  -2.20487805e+00
    1.18750000e+00]]"
,,
CAH,_chr,"[[  6.21724894e-15   2.20814480e+00   1.00000000e+00  -1.22916667e+00
    4.60000000e+00]]"
,,
BAC,_clr,"[[ -1.00000000e+00  -4.90625000e+00   1.32116788e+00  -5.55111512e-15
   -2.29351536e+00]]"
,,
BAC,_chr,"[[ -5.55111512e-15   4.84615385e+00   2.31195335e+00   1.00000000e+00
   -1.42342342e+00]]"
,,
GS,_clr,"[[ -1.00000000e+00  -2.27659574e+00  -3.10862447e-15  -4.77192982e+00
    1.22680412e+00]]"
,,
GS,_chr,"[[ -1.11022302e-15   2.27327327e+00   1.00000000e+00   4.88095238e+00
   -1.26262626e+00]]"
,,
CAG,_clr,[[-2.39490446  0.04942339 -1.         -7.8         3.375     ]]
,,
