action,reward,state,ticker
1,-34.97489362549033,1311,89
1,-86.56466551373825,1111,91
1,8.0,3111,98
-1,8.0,3331,141
1,134.59199999999998,3331,159
1,-39.436800000000005,3311,164
-1,38.4,1331,181
-1,10.789375999999976,1331,187
-1,33.793535999999996,3131,196
1,-8.092143157248003,3311,216
1,-32.96000000000001,1131,226
1,-34.686464,1311,230
1,0.6399999999999935,3111,239
1,-39.37638400000001,3331,257
1,58.097410245815595,3331,271
1,47.04,3311,284
1,61.952,1131,285
-1,190.13267104878102,3311,290
1,0.6399999999999935,3131,317
-1,114.7429320851456,3311,318
1,-39.436800000000005,1331,322
1,117.44,1111,338
-1,80.64,1111,343
1,-39.37638400000001,3331,369
-1,25.358459294407922,3311,372
1,-38.75261229161251,1111,385
