alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.1,2.0,13721,0.9,1033782078,SP500_50,1026641658.0,3,1465369200
0.1,29894634.0,13722,0.9,1040049762,SP500_50,1004183747.0,3,1465455600
0.1,499217167.0,13723,0.9,1048685078,SP500_50,538069908.0,3,1465542000
0.1,2508278.0,13724,0.9,1044974675,SP500_50,1035392875.0,3,1465801200
0.1,1464035.0,13725,0.9,1050556781,SP500_50,1041575217.0,3,1465887600
0.1,8.0,13726,0.9,1048749949,SP500_50,1052545830.0,3,1465974000
0.1,8.0,13727,0.9,1057168224,SP500_50,1056243574.0,3,1466060400
0.1,2.0,13728,0.9,1063388982,SP500_50,1061168174.0,3,1466146800
0.1,7.0,13729,0.9,1064369573,SP500_50,1064781143.0,3,1466406000
0.1,728106.0,13730,0.9,1071836752,SP500_50,1072140682.0,3,1466492400
0.1,12510714.0,13731,0.9,1073712152,SP500_50,1061471131.0,3,1466578800
0.1,54601492.0,13732,0.9,1087931208,SP500_50,1033948625.0,3,1466665200
0.1,45.0,13733,0.9,1077625515,SP500_50,1060373087.0,3,1466751600
0.1,16.0,13734,0.9,1083662305,SP500_50,1061923844.0,3,1467010800
0.1,2.0,13735,0.9,1087108314,SP500_50,1087737271.0,3,1467097200
0.1,20274665.0,13736,0.9,1097902492,SP500_50,1092579106.0,3,1467183600
0.1,882260.0,13737,0.9,1114752955,SP500_50,1135634296.0,3,1467270000
0.1,12064.0,13738,0.9,1122212864,SP500_50,1146441790.0,3,1467356400
0.1,12.0,13739,0.9,1121765180,SP500_50,1116445239.0,3,1467702000
0.1,12.0,13740,0.9,1123289197,SP500_50,1128151984.0,3,1467788400
0.1,919780.0,13741,0.9,1105408475,SP500_50,1129458775.0,3,1467874800
0.1,16.0,13742,0.9,1116088988,SP500_50,1163905273.0,3,1467961200
0.1,3.0,13743,0.9,1115187581,SP500_50,1168524197.0,3,1468220400
0.1,3.0,13744,0.9,1111746637,SP500_50,1200296316.0,3,1468306800
0.1,3.0,13745,0.9,1120130465,SP500_50,1242646948.0,3,1468393200
0.1,3.0,13746,0.9,1121891963,SP500_50,1248173401.0,3,1468479600
0.1,3.0,13747,0.9,1123701818,SP500_50,1250600099.0,3,1468566000
0.1,921146.0,13748,0.9,1123619804,SP500_50,1251204770.0,3,1468825200
0.1,587.0,13749,0.9,1119551705,SP500_50,1247270408.0,3,1468911600
0.1,3.0,13750,0.9,1118640808,SP500_50,1262049940.0,3,1468998000
0.1,929834.0,13751,0.9,1113738504,SP500_50,1243264819.0,3,1469084400
0.1,4.0,13752,0.9,1128510786,SP500_50,1255885537.0,3,1469170800
0.1,3599.0,13753,0.9,1123695593,SP500_50,1238894661.0,3,1469430000
0.1,15.0,13754,0.9,1106978453,SP500_50,1235814069.0,3,1469516400
0.1,8.0,13755,0.9,1114076012,SP500_50,1162138974.0,3,1469602800
0.1,11.0,13756,0.9,1106692447,SP500_50,1119198469.0,3,1469689200
0.1,1981814.0,13757,0.9,1121360091,SP500_50,1136523926.0,3,1469775600
0.1,14499327.0,13758,0.9,1110595685,SP500_50,1126082813.0,3,1470034800
0.1,1464679.0,13759,0.9,1104527478,SP500_50,1123557044.0,3,1470121200
0.1,27299.0,13760,0.9,1103604567,SP500_50,1122279321.0,3,1470207600
0.1,274304298.0,13761,0.9,1102816444,SP500_50,829983149.0,3,1470294000
0.1,6.0,13762,0.9,1101063927,SP500_50,1109043394.0,3,1470380400
0.1,5703998.0,13763,0.9,1099003822,SP500_50,1117340982.0,3,1470639600
0.1,3352339.0,13764,0.9,1101480369,SP500_50,1120787104.0,3,1470726000
0.1,15.0,13765,0.9,1104435109,SP500_50,1126364383.0,3,1470812400
0.1,6703.0,13766,0.9,1107220557,SP500_50,1123898833.0,3,1470898800
0.1,3525042.0,13767,0.9,1103129970,SP500_50,1114261423.0,3,1470985200
0.1,88.0,13768,0.9,1099569096,SP500_50,1110147215.0,3,1471244400
0.1,44619956.0,13769,0.9,1077165669,SP500_50,1048044216.0,3,1471330800
