alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.5,985719.0,13773,0.8,1056406761,SP500_50,1214141773.0,2,1471849200
0.5,61805242.0,13774,0.8,1056917653,SP500_50,1154123253.0,2,1471935600
0.5,29.0,13775,0.8,1056602340,SP500_50,1217006376.0,2,1472022000
0.5,550302221.0,13776,0.8,1060890106,SP500_50,670693087.0,2,1472108400
0.5,2555953.0,13777,0.8,1049505541,SP500_50,1212835425.0,2,1472194800
0.5,676119689.0,13778,0.8,1057635194,SP500_50,546752692.0,2,1472454000
0.5,563318295.0,13779,0.8,1054275013,SP500_50,658072726.0,2,1472540400
0.5,32739831.0,13780,0.8,1053996348,SP500_50,1193795487.0,2,1472626800
0.5,1072223984.0,13781,0.8,1056808334,SP500_50,156479781.0,2,1472713200
0.5,35799268.0,13782,0.8,1060014032,SP500_50,1192786018.0,2,1472799600
0.5,577484991.0,13783,0.8,1069589361,SP500_50,656232415.0,2,1473145200
0.5,1236385214.0,13784,0.8,1072184122,SP500_50,0.0,2,1473231600
0.5,41.0,13785,0.8,1070203773,SP500_50,1243042530.0,2,1473318000
0.5,14.0,13786,0.8,1033619001,SP500_50,1227868192.0,2,1473404400
0.5,41762389.0,13787,0.8,1054298692,SP500_50,1202651827.0,2,1473663600
0.5,88040125.0,13788,0.8,1033499561,SP500_50,1130379652.0,2,1473750000
0.5,242128.0,13789,0.8,1032324869,SP500_50,1219497663.0,2,1473836400
0.5,387.0,13790,0.8,1043515559,SP500_50,1231744246.0,2,1473922800
0.5,51.0,13791,0.8,1039042188,SP500_50,1220316275.0,2,1474009200
0.5,13363535.0,13792,0.8,1032094007,SP500_50,1218933625.0,2,1474268400
0.5,292936305.0,13793,0.8,1030026601,SP500_50,940525003.0,2,1474354800
0.5,63.0,13794,0.8,1043172215,SP500_50,1244235554.0,2,1474441200
0.5,681275383.0,13795,0.8,1054860917,SP500_50,575821312.0,2,1474527600
0.5,2417081.0,13796,0.8,1058701829,SP500_50,1257842047.0,2,1474614000
0.5,2417081.0,13797,0.8,1052963487,SP500_50,1252795999.0,2,1474873200
0.5,4727715.0,13798,0.8,1059961026,SP500_50,1268669178.0,2,1474959600
0.5,1256475094.0,13799,0.8,1042957386,SP500_50,0.0,2,1475046000
